region,ds,y,calendar_ds
basilicata,2016-01-03,5.57,2020-01-12
basilicata,2016-01-10,7.72,2020-01-19
basilicata,2016-01-17,10.84,2020-01-26
basilicata,2016-01-24,19.26,2020-02-02
basilicata,2016-01-31,18.61,2020-02-09
basilicata,2016-02-07,14.79,2020-02-16
basilicata,2016-02-14,7.51,2020-02-23
basilicata,2016-02-21,6.59,2020-03-01
basilicata,2016-02-28,5.11,2020-03-08
basilicata,2016-03-06,0.0,2020-04-05
basilicata,2016-03-13,0.0,2020-04-26
basilicata,2016-03-20,0.0,2020-12-06
basilicata,2016-03-27,0.0,2020-12-13
basilicata,2016-04-03,0.0,2020-12-20
basilicata,2016-04-10,0.0,2020-12-27
basilicata,2016-04-17,0.0,2021-01-03
basilicata,2016-04-24,0.0,2021-01-10
basilicata,2016-05-01,0.0,2021-01-17
basilicata,2016-05-08,0.0,2021-01-24
basilicata,2016-05-15,0.0,2021-01-31
basilicata,2016-05-22,0.0,2021-02-07
basilicata,2016-05-29,0.0,2021-02-14
basilicata,2016-06-05,0.0,2021-02-21
basilicata,2016-06-12,0.0,2021-02-28
basilicata,2016-06-19,0.0,2021-03-07
basilicata,2016-06-26,0.0,2021-03-14
basilicata,2016-07-03,0.0,2021-03-21
basilicata,2016-07-10,0.0,2021-03-28
basilicata,2016-07-17,0.0,2021-04-04
basilicata,2016-07-24,0.0,2021-04-11
basilicata,2016-07-31,0.0,2021-04-18
